F1	F2	F3	F4	F5	F6	y
13.24	2.019	620.6988811968573	155.82652911385424	P	D	2
15.0	1.476	400.6923802058559	308.64380030695696	P	C	1
-11.690000000000001	-2.107	485.29581357219945	213.1976442589371	P	C	2
20.5	0.973	435.34451422747685	200.0493818102211	P	B	0
18.66	-0.997	720.4193753743077	193.03089987063152	P	B	2
-2.96	3.676	561.4251166986693	285.83975339360524	P	D	1
-24.46	-0.8	479.58073453165576	230.39005136906374	P	B	1
-15.84	-0.536	864.6462170484933	187.78344255965425	P	A	0
-12.330000000000002	-0.367	788.1832594214578	238.58925486856978	Q	A	0
12.09	1.773	717.4375422806414	289.05878879536135	Q	D	2
9.25	-2.006	559.9677284242543	171.46548961747843	Q	B	2
-14.1	-1.337	392.85477718986186	132.28487498216862	P	C	2
13.01	1.578	769.8394985076741	215.94467644673568	P	C	1
14.91	1.669	813.2974691606382	216.59541211817375	Q	C	1
18.5	-1.776	269.4167423083799	188.2755783501291	P	A	1
-10.29	2.415	711.3826672334728	261.64086242687813	Q	B	3
-12.4	-1.65	637.8669576947052	302.75305377310474	P	C	2
13.67	2.497	674.4531021695709	210.8216983371806	P	B	0
20.259999999999998	2.077	676.665143103339	250.17238776210957	Q	A	3
18.07	1.498	544.4670186402684	229.62130068144543	P	C	1
34.18	-1.774	454.8972830167269	145.54004197780256	Q	C	3
17.3	1.179	425.8409537204043	170.95179802832445	Q	C	1
3.2800000000000002	2.278	568.3311028784483	232.61232332444223	P	D	2
17.57	1.325	743.6015003615153	266.9552221297133	P	D	2
8.17	0.793	537.6908986986303	168.50322685300807	Q	A	3
-7.79	-2.044	435.7445129450555	273.5439618117644	Q	B	1
-9.719999999999999	2.877	529.767306560868	177.01699589185253	P	D	1
-0.19	0.367	880.3284318318224	211.08429426710364	P	B	2
8.93	-0.47	577.359034702345	163.83819979824892	Q	B	2
17.62	1.783	574.3392102891596	209.55276627322468	Q	A	3
-19.98	1.204	422.9742587459493	102.5791138720848	Q	A	2
24.81	-1.603	799.3141968513016	182.6280330562808	Q	C	3
15.79	-1.823	619.8140674028261	279.37528961176616	Q	B	2
-2.63	0.519	510.0097024361745	298.17765621407455	P	C	0
16.91	0.571	699.7692815276138	220.46962820418258	P	D	2
18.6	1.346	583.563297700265	177.55986287508162	Q	C	1
11.399999999999999	2.798	262.61185892455455	198.46818282204183	P	D	2
4.88	-0.49	564.8114299455764	238.78599227920574	Q	C	3
-9.09	-1.438	650.7265353189799	192.80854533517433	P	C	2
10.89	-1.218	537.6596019873958	260.05995179211385	Q	D	0
-2.63	-2.193	474.73089352807835	223.5352568224322	Q	D	3
-34.41	0.012	460.95451251613986	174.52781469616792	P	B	1
9.97	-0.724	475.2796372754587	158.84867471509054	P	B	2
27.959999999999997	-2.357	670.8320082211693	156.03545715851766	Q	A	1
11.27	-1.581	807.6678859229442	142.91146748456907	P	C	3
7.66	2.256	557.0637551433069	167.2113740249871	Q	A	2
-42.77	0.535	873.7774768453326	177.88804841976997	Q	B	1
-17.07	1.468	907.0158711277253	149.98700890202574	Q	B	3
-9.23	2.129	383.55826484919606	118.51199205840874	Q	A	2
-3.12	1.009	771.1211504438558	232.68709073354495	Q	C	0
8.44	-2.077	733.4678924174638	223.54661305038965	Q	C	3
-0.33	-1.026	678.0219952651571	234.85330108621554	P	D	3
0.13	0.026	684.1122946819978	264.8935792639395	Q	A	3
-20.8	2.09	449.36446395822963	236.3984774496253	P	B	3
6.49	0.677	901.022587529832	136.9319385570364	Q	A	3
-14.11	1.229	616.016880032267	159.76350106695816	P	C	0
-22.44	-1.245	644.6762754811476	241.58774973294052	P	C	2
-8.96	1.218	708.1442893378833	162.95007442819036	P	D	1
-16.64	-1.342	545.9631599343782	134.36223299239245	Q	B	1
11.89	1.486	619.4285050068588	172.3117745438937	P	C	1
-16.02	-1.906	712.3425538545596	140.6821688640373	Q	A	0
9.549999999999999	1.69	416.4096526413226	184.40728055812306	P	C	1
-17.52	-1.236	686.8925973469035	159.44285127453475	Q	B	1
30.139999999999997	-0.385	525.960717298699	206.22728122795243	P	D	3
-17.52	-0.935	523.2301379045156	262.7837237736283	Q	A	0
-12.85	1.669	431.6491037507428	213.89515969457238	Q	B	3
12.42	-0.856	428.0312644952544	207.57074575382242	Q	B	2
-25.139999999999997	-0.469	950.9378249899535	197.61346548975447	P	C	2
31.14	-2.429	867.6474243034625	284.68006953982075	Q	A	1
11.080000000000002	2.846	569.2370944029306	192.81536658333283	P	D	2
-23.130000000000003	1.506	646.8364398697206	215.99043151577763	Q	A	2
-11.850000000000001	0.152	583.3128679924785	103.04160721453712	Q	A	1
30.29	-4.184	591.5886239152783	169.6587296518009	Q	C	3
-5.08	-0.515	494.78700076059965	269.32969664984455	P	A	3
-16.59	-1.428	274.4062756235198	122.48370895872294	Q	B	1
25.64	-2.04	473.9289420923016	158.0935218486078	Q	A	1
-13.73	-1.527	465.7475442968264	218.4826950781886	P	B	1
12.92	-1.058	708.3968180640608	223.96919982423088	P	B	2
15.14	1.416	577.6707080324835	261.48259666778995	P	C	1
18.52	1.339	443.81690449093196	270.8316483038159	P	C	1
12.98	1.744	586.96027043908	227.17460951460782	P	D	2
11.09	1.668	726.6514638680235	246.39610538793204	P	C	1
27.47	2.046	538.1052489224725	243.7933893473009	P	B	0
12.21	-2.604	457.4718599259101	209.39211448790675	Q	C	3
14.44	-2.791	746.6942239680942	251.515516585895	P	C	3
8.99	-1.014	457.66870809300843	242.02265351861132	P	A	1
-11.0	1.231	496.5661764331118	60.573764482211686	Q	C	0
21.490000000000002	-2.549	498.24993619410805	123.32670029815725	Q	D	0
14.299999999999999	-1.435	734.7700112756576	184.88387751967443	Q	A	1
2.3499999999999996	0.223	720.8582935458328	284.5940195374338	Q	A	3
13.55	-2.191	709.0186746631682	168.80441619845362	P	D	0
16.05	1.299	707.9536545433429	175.87979668041345	P	C	1
-2.72	-0.168	468.9081810860539	299.9057424779873	Q	D	0
29.540000000000003	-2.178	690.7231549090543	221.96332546238352	Q	C	3
26.12	2.62	715.1061182978121	158.8189540302074	Q	A	3
14.84	-2.392	531.5996313394099	237.0540615795129	P	D	0
-7.43	-0.692	739.3191103015445	210.82166892132668	Q	A	0
-22.12	0.863	735.400152438662	132.21344197331175	P	B	3
-32.61	-1.719	460.1419416340151	154.83894211040752	P	A	0
14.0	-1.143	1004.6100261681465	255.68302739229964	P	B	2
24.009999999999998	-2.154	633.0772102624818	184.92485924064343	P	A	1
-36.83	2.663	654.3528296521678	107.006808286243	P	A	2
-8.870000000000001	-0.937	531.119093031345	206.07005431945987	Q	A	3
-10.84	2.198	713.197858490235	194.51622021046407	P	D	1
-3.05	-0.25	616.5829890512624	142.94316822431594	Q	A	0
-11.870000000000001	1.357	620.5903617965271	166.11808733353374	P	B	3
-3.91	-0.286	399.53772156904176	132.04619459348575	P	A	1
-7.109999999999999	-2.032	628.0501276024181	160.87417364680894	Q	B	1
-15.11	1.691	333.0318685459443	209.89104027222035	Q	C	0
18.080000000000002	1.277	576.7030270143447	279.3792281214511	P	C	1
14.41	-1.192	565.1404023343167	196.44933603621388	Q	D	0
16.33	-1.196	852.6434565262601	250.27248647783858	Q	D	0
16.02	1.602	540.4572995128531	219.19057176725372	Q	A	3
6.83	0.656	785.0565250889742	221.7237700546694	Q	A	3
-18.18	1.683	803.7485978985171	136.76161508568862	P	C	0
20.06	1.927	477.87634410918383	152.77158882073113	P	B	0
25.459999999999997	0.103	604.1103233399776	199.33712366696105	Q	D	2
11.719999999999999	-1.475	316.89450989187844	163.7736071685597	P	B	2
14.59	-1.515	705.6194467282738	298.40080532215813	P	A	1
5.34	1.372	562.7308477469561	332.78250515284924	Q	B	0
-14.510000000000002	1.97	746.9146795009879	254.6124212760932	P	B	3
18.759999999999998	1.398	529.0144659867526	187.0130777578379	P	C	1
-7.94	-1.552	763.6922439965102	237.66558296367964	P	C	2
-21.64	-0.705	610.6091310354799	161.52475285780335	Q	D	3
14.610000000000001	1.331	533.7062099484305	148.83921247367144	Q	D	2
-22.47	-2.308	821.8448545443557	161.86419349893066	P	A	3
14.370000000000001	2.29	631.9519463699789	178.61997846369601	P	D	2
19.78	-2.195	683.7054098179664	178.48544361449987	Q	D	0
2.3899999999999997	2.301	566.1906324697193	74.29062913967867	Q	A	2
17.19	-2.253	716.3413866025674	231.53003747300437	P	B	2
18.36	-1.227	321.95533387362224	109.97976731676503	Q	C	3
-11.83	1.637	676.547996660154	164.86956959393686	Q	B	3
-42.61	1.39	570.0835387655901	193.99056726815337	P	A	2
-3.31	0.427	357.0775666051512	197.9246403671829	P	C	0
16.53	1.026	746.9274380944686	242.97914291575935	P	D	2
-7.86	-1.77	818.6145891491965	141.67379499787594	Q	A	0
-0.76	2.387	632.9476254109038	210.58870405677266	P	B	0
25.09	1.56	634.1615041917188	214.75006026775492	Q	B	0
-33.38	2.43	412.2413988276844	231.40384844280362	Q	C	0
-17.56	0.861	751.5565552196742	242.3867232110002	Q	D	1
22.770000000000003	2.279	679.444475764268	140.0802455557451	P	A	3
7.18	0.746	609.538043751556	215.36423560472542	Q	A	3
5.2	2.741	603.6107981967405	175.21967160148196	Q	D	2
-13.899999999999999	1.408	566.7423347673641	194.11590832496134	P	C	0
27.53	-2.412	413.6029078095565	204.19280203258182	Q	A	1
-12.47	-1.739	503.49816096988127	199.1530904924405	Q	B	1
-10.67	-1.872	280.2672099053768	151.3901523135007	P	C	2
-10.66	1.582	506.8769933247515	160.68508144507234	P	D	1
22.18	1.416	936.3504503514494	150.28196768949968	P	C	1
8.48	-1.263	433.6823338860453	242.02755005533393	Q	C	3
18.59	-2.288	431.9176880305465	273.0953321628015	Q	C	3
-23.159999999999997	1.02	500.0914654978488	66.74492724341715	P	A	2
-14.96	2.899	632.912088911622	299.8103311112264	P	A	2
-1.33	2.27	464.51251004279527	213.3154769920619	P	A	0
-17.669999999999998	-1.836	717.6632511801727	186.05970252300037	Q	C	2
-19.92	2.028	501.00783894980987	209.78964272297665	Q	D	1
-0.76	0.729	780.207809024623	239.00297861296673	P	C	3
15.760000000000002	1.348	644.6387153176508	174.77627839110534	Q	C	1
13.93	1.402	508.1487835309933	213.49202511005026	Q	A	3
-2.3000000000000003	-0.27	336.26793557021756	176.5294855991536	P	A	3
1.9300000000000002	-2.317	553.0905139172243	298.97196162167893	P	C	2
-6.029999999999999	-0.534	763.0752315133412	263.8681426634469	Q	C	3
18.34	1.56	347.05390134250797	251.72605076176808	Q	D	2
-10.920000000000002	2.117	765.544430469439	255.39821552179734	Q	B	3
-7.16	-1.552	457.42190943358975	263.2283613944669	P	C	2
30.64	2.178	887.7404288467304	227.7717704323765	P	B	0
-21.9	1.961	570.8981688294898	249.1320339616866	P	C	0
29.24	-2.327	543.2722512696298	301.64234909663526	P	A	1
23.22	-2.092	491.0105022412257	128.7061729465846	Q	B	2
-1.79	-0.462	619.3303183609858	223.49708855748472	P	A	1
18.77	-2.006	499.16599319615386	272.488009409626	P	D	0
-3.19	-1.693	648.527986851579	274.7233327543843	Q	C	2
-15.83	-0.885	826.435817138737	219.68838823666846	Q	C	2
-15.600000000000001	1.146	382.1948642452428	152.83944589672114	P	D	1
0.42999999999999994	-2.134	732.1191042065691	170.41625107235643	P	A	0
1.8599999999999999	0.205	581.7065033149657	204.5051592993051	P	A	3
-26.93	0.534	631.8810077627606	122.55798199032469	Q	D	1
4.12	-0.947	576.1068056647691	176.76699729203082	Q	C	0
22.17	-3.258	412.20432774094854	151.74946027732042	P	B	2
20.86	-3.112	479.4564293845704	144.6973845089713	P	D	0
-6.16	-1.201	602.3155837654314	197.2195592013423	Q	D	3
-13.25	-1.624	534.2847011426818	91.2298970789741	Q	B	1
-18.060000000000002	-0.93	667.150548923717	238.6285013679712	Q	A	0
11.41	2.655	572.3966516803289	196.6807686823654	P	D	2
-13.0	-1.721	580.4985184317179	256.05540789393325	Q	C	2
20.5	-1.972	337.85053091797926	171.80185142252407	Q	A	1
-30.9	-0.266	907.7860099108119	276.776830023078	Q	B	1
19.7	-2.608	731.109257089875	171.0878197601627	P	B	2
15.35	-0.544	583.2686419196804	292.8200627339447	Q	D	0
-14.81	2.727	730.5072615060753	307.0639780437139	Q	B	3
-5.83	2.399	195.9078467620924	213.70626405025484	P	D	1
23.24	0.109	401.5239757330674	155.22983987903729	Q	D	2
-13.740000000000002	-1.558	692.1363089355272	171.5926062407961	Q	B	1
-11.879999999999999	-1.935	598.7830512838104	280.7698303192319	P	D	3
30.48	3.066	572.6919093599743	156.50383475184879	P	A	3
11.180000000000001	-1.114	753.0893260462121	263.0444968620435	Q	C	3
-7.8500000000000005	-1.17	437.6730398924809	180.95462505228895	P	D	3
-47.55	-0.601	847.2016507840774	267.36915001610055	P	C	2
-25.5	-1.431	836.3852606999272	180.44788812879116	P	A	2
-25.32	-0.679	500.9605799879628	113.39468878872476	Q	B	1
-14.18	0.964	813.1289857144711	258.16515670037097	Q	D	1
13.38	1.594	631.8776049239813	282.55444561080634	Q	C	1
-14.290000000000001	1.972	593.6945983933662	220.1896002969779	P	B	3
-20.87	-0.284	791.2537283189054	127.13559452169027	Q	A	0
21.53	-2.858	836.5939520984583	154.4721070460294	Q	B	2
-7.57	-2.438	652.7739484732243	206.9002362550339	Q	A	0
-17.54	0.923	243.08231996694872	159.86540089267726	P	D	1
14.830000000000002	1.616	681.163769309529	166.43254291008753	P	C	1
12.32	0.884	727.8910826212058	262.35272593967585	Q	D	2
-5.380000000000001	-1.033	582.5530535692657	165.540444381862	P	C	2
-19.810000000000002	1.643	501.40112151424853	177.85823329376058	P	C	0
-4.98	-1.379	406.95153001425865	222.24970301299408	Q	D	3
17.89	-1.607	417.63156834479366	138.90303634074436	Q	A	1
14.830000000000002	-0.783	525.229283737057	208.47263389400803	Q	B	2
-7.47	-1.96	751.50959862373	265.80986854089156	Q	C	2
15.549999999999999	1.318	735.0889992706626	213.88366267251362	P	C	1
6.42	0.212	498.43417072482714	188.364074396988	P	B	0
-27.93	-1.05	762.5123912558208	130.54246546876777	Q	C	2
16.67	-1.236	586.0620438729784	212.88222424250472	Q	D	0
14.63	1.962	379.2430958618107	184.40826871372235	Q	B	0
14.8	1.465	679.4308376667993	214.58095090250083	Q	C	1
-27.66	-0.481	711.0673696695305	184.13344998685713	Q	B	1
-15.5	-1.243	736.1055014550882	116.8060871820517	Q	C	2
30.11	-0.201	661.3447154997408	273.930084704195	P	D	2
15.91	1.632	316.5756534415444	236.52982828568503	Q	D	2
-27.62	2.242	633.5962945307045	189.37423080504038	Q	C	0
16.84	1.31	595.5288642965844	158.0370741001001	P	C	1
-14.26	0.785	573.8967799574868	259.6428502725373	P	B	3
-11.479999999999999	-1.463	517.5041398800086	216.01824059922964	Q	C	3
-4.99	-2.613	375.67254358608466	239.13545485635456	Q	D	3
8.79	-1.739	391.2902540098362	214.63460457242522	Q	B	2
-19.62	2.058	446.0889461136593	261.77621025960326	P	B	3
18.1	-1.698	924.6319392589143	204.93982610983488	P	A	1
2.98	0.315	334.5888363367385	244.08659629881404	P	A	3
-16.68	-1.439	671.8749161407533	240.96097035004044	Q	B	1
11.27	-2.192	634.6166156092247	144.06489708979544	P	C	3
-11.81	0.185	593.6359507326071	229.31350899394627	P	A	1
8.95	1.46	496.661906632149	150.5359704931779	Q	B	0
16.86	-2.159	699.1661133670448	238.35549526037528	Q	B	2
-14.8	1.609	347.7313951247088	188.0980139121695	Q	B	3
-18.23	1.787	671.6208287420752	184.5158100154265	P	C	0
-10.780000000000001	-1.099	211.27828083432848	140.39713681498029	P	A	3
-21.54	1.611	376.10453638826607	182.52211347900507	P	B	3
-20.950000000000003	1.725	452.9090764975567	202.81054694148816	P	C	0
-18.71	-2.117	543.3645402563465	328.7241645012833	P	A	0
-1.75	3.658	486.57320161060574	254.354061068041	P	D	2
-22.0	-0.138	615.0472254225002	206.72131537055927	Q	D	1
-14.459999999999999	1.526	456.0195930498659	121.0777560082142	P	B	1
13.17	2.153	770.6190749061991	145.39439140057084	Q	D	2
-9.75	1.244	440.9922493099573	247.7077755508428	Q	C	0
-13.600000000000001	-1.499	617.1038432577421	176.1795384019528	P	B	1
4.5	0.482	503.0642206814209	246.39099041038418	P	A	3
-12.4	-1.77	793.8120198647673	228.50272622271234	P	B	1
17.259999999999998	2.117	894.9388791664162	238.1767734140219	Q	B	0
-14.25	-1.611	629.0342491701466	161.62994426616433	Q	B	1
14.76	-1.362	363.98965091534694	204.30489682130207	Q	B	2
30.659999999999997	-2.618	493.69455414369327	250.1899549545837	Q	C	3
10.169999999999998	0.983	522.1001081678531	193.3045157853687	Q	A	3
-44.21	0.714	774.3045087347389	148.42931036930733	Q	C	2
13.61	1.645	533.1601752357428	167.4025695912684	Q	C	1
30.369999999999997	2.987	644.1587584741135	155.73374943729854	P	A	3
-21.269999999999996	1.425	694.2177866834043	90.0360014415615	Q	B	3
4.51	1.514	554.535729549683	187.68278173165666	Q	B	0
-17.42	1.559	839.372479944871	187.32051216066705	P	C	0
-18.64	1.68	820.3217384375967	186.500295141703	Q	B	3
-23.46	1.134	744.2161504516115	131.88838855220908	Q	A	2
-16.88	-2.127	318.18496834683634	120.6284137716618	Q	C	2
13.959999999999999	-2.176	494.20136666126143	57.0889562572587	Q	D	0
28.94	2.489	934.5302608786754	128.0097823897778	P	B	0
-24.700000000000003	-0.598	735.00971055985	222.93388135876756	P	C	2
-6.44	-2.182	621.6862950070297	119.44758562648653	Q	B	1
-15.24	0.904	434.45237793893875	248.6462007571673	Q	B	3
17.3	-0.257	474.26977478060763	201.3868971861892	P	B	2
-10.46	-1.934	720.6973304985241	251.5688455362772	P	B	1
-19.59	1.28	653.6783728859449	208.58859459092642	Q	D	1
-12.05	1.111	737.3565442606423	239.24333020676508	Q	C	0
19.119999999999997	1.25	836.4208689808214	216.60516201517143	Q	C	1
37.01	-2.851	760.7482058481902	193.87543373921866	Q	A	1
2.84	-1.429	400.9879779492215	197.6182540824873	Q	C	3
-9.51	-0.81	395.4382429962644	140.65489081345908	P	C	2
-29.380000000000003	-1.018	322.8338837950395	229.7082009019193	P	D	3
4.12	-1.813	610.2823223065104	158.31908316492354	P	A	0
-13.260000000000002	-1.693	572.5439285173429	187.69397017377608	P	B	1
28.78	-2.325	737.9096161858832	133.17039118279382	Q	A	1
19.85	1.998	561.3548575966236	110.81014486769848	Q	A	3
-1.04	0.548	535.6601527450404	75.06238351741152	P	C	0
17.54	-2.02	844.5710360109413	245.38427377778217	P	D	0
-20.51	-0.286	335.4040745547657	228.02581392768974	P	D	3
12.889999999999999	-1.92	413.79234051163206	250.2669127281826	P	D	0
14.950000000000001	1.539	465.19107802711983	228.32884694940276	Q	B	0
3.4899999999999998	1.872	761.8050977101411	198.3538203460104	Q	D	2
-5.3500000000000005	-2.153	410.1686283293922	150.07456809370154	Q	C	2
-6.26	-2.441	884.685940002177	166.22573472760251	Q	A	0
12.829999999999998	-2.071	570.0691635217778	171.8715182727625	Q	D	0
10.77	-0.3	550.9935091624825	187.92808057770517	P	D	0
21.64	1.42	756.4939341981476	123.28756116408908	Q	C	1
-2.3000000000000003	0.595	470.0099340212102	174.87309472094674	Q	C	0
-12.569999999999999	-0.034	508.5931936473187	264.1721727035292	P	A	2
-5.36	-1.701	418.5097021173137	217.7939139782777	P	D	3
-12.569999999999999	-1.729	473.7585892057467	192.2143600570419	P	B	1
15.06	-1.333	485.32444382102506	264.6790978632465	P	A	1
-20.67	2.121	550.5588422265563	261.93838744879224	P	C	0
-2.3499999999999996	-1.254	671.1700066973666	215.1807466261135	P	A	0
21.150000000000002	-1.879	590.3633350049739	92.26091586615664	Q	A	1
-8.52	-1.653	903.2491413352384	184.42540089417918	P	D	3
-15.37	2.151	546.3925015760967	186.02521278972156	P	A	2
-29.1	-1.94	451.48329396262034	218.15552493089336	P	D	3
-14.930000000000001	1.69	520.9891452554812	247.97027262325113	P	A	2
-9.89	-1.437	366.85415900653885	210.53178828149115	P	D	3
22.07	1.146	731.8261707888876	202.99924426347533	Q	C	1
10.42	1.536	456.6492491951625	202.63387916329137	P	C	1
-13.120000000000001	1.041	618.8450916421601	219.7541374002056	Q	B	3
15.56	-1.702	167.5114663428057	206.82541622545503	P	B	2
-26.909999999999997	0.755	570.3943183090122	148.9675653524946	Q	A	2
2.9499999999999997	1.951	510.9661807583066	97.44561298120506	Q	B	0
14.96	0.273	627.7876290356305	172.51486313998663	Q	B	0
-19.91	1.646	733.7401878097658	183.5804257845621	Q	B	3
21.13	1.285	619.473185308238	223.23380402660447	Q	C	1
-9.350000000000001	2.236	394.36563985702617	154.8645126114322	P	D	1
-13.040000000000001	-1.702	286.5975629635074	174.65665723528733	P	A	0
15.649999999999999	1.559	567.9276974245331	106.02924246462037	P	C	1
13.23	-1.39	243.44224367238206	182.05000835386997	P	A	1
11.97	1.781	711.0003507869387	103.72814573836789	P	C	1
4.17	-1.47	787.4561200264426	247.71573044729297	P	C	3
11.399999999999999	-0.93	576.4426237734398	166.17695585057595	Q	B	0
-25.07	2.032	477.2791338226088	240.60142145866195	P	C	0
